"","coefficient","Estimate","Std. Error","z value","Pr(>|z|)","sw","N containing models"
"2","juli_date",2.404,0.746,3.119,0.002,1,3
"3","I(juli_date^2)",-0.008,0.003,3.134,0.002,1,3
"4","avg_biom_site_gm2",-0.034,0.016,2.066,0.039,1,3
"5","avg_density",0.93,0.22,4.085,0,1,3
"6","dist_anad_km",0.778,0.294,2.561,0.01,1,3
"7","sed2_avg",0.131,0.239,0.541,0.589,0.299,1
"8","sed1_avg",0.071,0.212,0.33,0.742,0.176,1
