"","coefficient","Estimate","Std. Error","Pr(>|z|)","sw","N containing models"
"2","juli_date",0.413,0.146,0.006,1,3
"3","I(juli_date^2)",-0.489,0.157,0.003,1,3
"4","avg_density",0.015,0.013,0.24,1,3
"5","sed2_avg",0.008,0.012,0.538,0.37,1
"6","sed1_avg",0.004,0.009,0.666,0.23,1
